Time,CO,rh,MOS
62430,0.589783677,36.03467997,0.710456777
62460,0.588192346,35.85825679,0.708522869
62490,0.588889446,36.56938796,0.707040892
62520,0.589046892,36.9193102,0.70682425
62550,0.590673108,36.94391586,0.708740423
62580,0.590502431,36.88232547,0.709270477
62610,0.592096383,36.81678967,0.7091654
62640,0.591230792,36.77115322,0.709652692
62670,0.590944746,36.70803042,0.709947131
62700,0.589880233,36.62789885,0.709167992
62730,0.588612992,36.41015131,0.708170715
62760,0.588745215,36.19586173,0.706227192
62790,0.589838977,36.5211153,0.7052356
62820,0.591334154,36.72130722,0.7050397
62850,0.590060115,36.67635608,0.705472392
62880,0.58989845,36.61138488,0.705278675
62910,0.590521669,36.56808025,0.705140646
62940,0.589454362,36.52233913,0.704551708
62970,0.588288469,36.40683526,0.703084162
63000,0.587798108,36.06217039,0.700689915
63030,0.585062525,35.82657952,0.698308617
63060,0.58445315,35.89010917,0.696937533
63090,0.586526469,36.4086017,0.695709169
63120,0.588036069,36.55490871,0.696194731
63150,0.588733192,36.49298564,0.696647869
63180,0.589336562,36.42473401,0.696527662
63210,0.588302125,36.37011686,0.696399758
63240,0.5881106,36.33019735,0.695580546
63270,0.588867823,36.20162401,0.694347385
63300,0.586444731,35.82389788,0.692283692
63330,0.585596185,35.6876378,0.690692362
63360,0.586370192,36.21802813,0.689132238
63390,0.587335983,36.34683385,0.689070342
63420,0.587223562,36.28848352,0.689975985
63450,0.587645858,36.22164506,0.690964892
63480,0.586483192,36.17926384,0.690009646
63510,0.584538485,36.15895823,0.689744023
63540,0.584264446,36.1020635,0.688507238
63570,0.582638042,35.98632096,0.686100292
63600,0.580276485,35.9423679,0.685123838
63630,0.580286085,35.73868514,0.68497
63660,0.579031285,35.71244859,0.685174308
63690,0.579867808,36.07327131,0.6856767
63720,0.581130225,36.1537088,0.685996133
63750,0.580992823,36.13534527,0.685962785
63780,0.582266846,36.08034255,0.685818538
63810,0.580329346,36.03096254,0.6856743
63840,0.579584154,35.98746302,0.684425508
63870,0.579224,35.94829927,0.683824233
63900,0.579596383,35.78599488,0.683337267
63930,0.577723585,35.54730657,0.682393054
63930,0.577723585,35.54730657,0.682393054
63960,0.577233215,35.2824877,0.6824147
63990,0.577435115,35.51074088,0.681597392
64020,0.579704369,35.89028879,0.681851
64050,0.582270867,36.0747297,0.683311233
64080,0.582074531,36.05123483,0.6847404
64110,0.584072154,36.00921339,0.685756046
64140,0.584540885,35.98956588,0.684765646
64170,0.582668292,35.96700801,0.684432731
64200,0.582379831,35.95150795,0.6835445
64230,0.581651067,35.91227208,0.682233117
64260,0.580939923,35.73147533,0.681540892
64290,0.580370215,35.59727359,0.679923092
64320,0.579596392,35.71646865,0.679697933
64350,0.5795385,35.97301639,0.680447154
64380,0.581680308,36.00505144,0.682272862
64410,0.581390658,35.97842192,0.683753933
64440,0.581413508,35.93460048,0.683602192
64470,0.579992808,35.90441562,0.682820954
64500,0.579146646,35.88085337,0.681673115
64530,0.5780457,35.85300155,0.681408692
64560,0.577669317,35.80879273,0.680347667
64590,0.576579346,35.68411703,0.678664692
64620,0.574793292,35.67960593,0.676401485
64650,0.573524054,35.60938775,0.675656277
64680,0.573596192,35.77396054,0.675258454
64710,0.573479208,35.84645663,0.676212275
64740,0.574007833,35.83282628,0.678110708
64770,0.574788469,35.78992147,0.678138262
64800,0.573971192,35.76542441,0.678004831
64830,0.571562531,35.73596872,0.6783005
64860,0.573531277,35.72142457,0.677605815
64890,0.572080733,35.60252083,0.676727908
64920,0.570442338,35.44058823,0.675659892
64950,0.572826946,35.48116174,0.675599785
64980,0.573206731,35.55778468,0.676113031
65010,0.574415908,35.79986703,0.677758446
65040,0.575603385,35.80161396,0.680420708
65070,0.576265633,35.74284682,0.682438833
65100,0.575692331,35.70494404,0.683355815
65130,0.575860608,35.67819326,0.683550515
65160,0.575408892,35.66503639,0.683057333
65190,0.574329362,35.63922595,0.683168308
65220,0.5726707,35.57341092,0.682682723
65250,0.571263042,35.59268783,0.682944033
65280,0.571040877,35.46209461,0.684085369
65310,0.573180315,35.55760484,0.684849785
65340,0.573524054,35.59706348,0.686617815
65370,0.573372623,35.566506,0.687448346
65400,0.57270315,35.52985133,0.688037775
65430,0.572435131,35.48865003,0.688236808
65460,0.571978408,35.45425893,0.688193531
65490,0.572718769,35.37498773,0.687641854
65520,0.5699327,35.06019445,0.687085346
65550,0.569658892,34.93333129,0.687386733
65580,0.571518267,35.09294917,0.687625042
65610,0.572067315,35.44690512,0.688536085
65640,0.574959169,35.52229519,0.690902677
65670,0.575584154,35.48427555,0.694098592
65700,0.576302931,35.42497707,0.696831754
65730,0.576682715,35.37214887,0.698576962
65760,0.576281292,35.33606622,0.698343792
65790,0.574269254,35.2963604,0.697512069
65820,0.574721177,35.11346021,0.696223608
65850,0.573836554,34.79289825,0.695433915
65880,0.573841385,34.79436857,0.695131062
65910,0.575619808,35.29635674,0.694052108
65940,0.576390658,35.46132369,0.694102892
65970,0.578199531,35.39688242,0.695336577
66000,0.578762054,35.33227871,0.695481985
66030,0.5789207,35.27887654,0.6946695
66060,0.580050508,35.24789511,0.694627431
66090,0.579893258,35.22625757,0.694276067
66120,0.579572123,35.20288437,0.692986792
66150,0.578829346,35.14588295,0.691741631
66180,0.577406254,34.86289459,0.689433915
66210,0.574536085,34.6423605,0.687042108
66240,0.576080758,34.89326618,0.685694042
66270,0.577305323,35.28057767,0.685319731
66300,0.576286085,35.28639687,0.685538492
66330,0.577329369,35.22648225,0.687040892
66360,0.577913485,35.16522844,0.686622638
66390,0.57557295,35.12671211,0.686214883
66420,0.5752266,35.08868005,0.685468758
66450,0.573947123,35.06283655,0.684108208
66480,0.573194746,35.0443072,0.6823534
66510,0.572247608,34.97728898,0.681161085
66540,0.570644238,34.90433978,0.679580562
66570,0.570000031,34.92670398,0.678634623
66600,0.569098975,34.68207529,0.67837115
66630,0.5665505,34.67001192,0.677718792
66660,0.5676106,34.94030382,0.677596208
66690,0.569884631,35.02786973,0.6792332
66720,0.571699538,35.0267716,0.680495208
66750,0.573304725,35.01128848,0.68025785
66780,0.570929717,34.9810512,0.67938545
66810,0.5704255,34.94522686,0.679262038
66840,0.5709784,34.92534655,0.678431515
66870,0.569413469,34.92597988,0.676685138
66900,0.568052915,34.91726554,0.675080569
66930,0.5669167,34.89443192,0.673431025
66960,0.564442338,34.81418465,0.672227208
66990,0.564271677,34.8031481,0.670051708
67020,0.563586554,34.87465677,0.669439938
67050,0.5631707,34.88384124,0.669027669
67080,0.562598585,34.86557255,0.669079354
67110,0.56438545,34.86043754,0.669906283
67140,0.563038477,34.85677531,0.669115415
67170,0.563619825,34.83178084,0.668209667
67200,0.561009638,34.82758873,0.666968769
67230,0.561283677,34.8044594,0.666068531
67260,0.559264438,34.76489815,0.664340192
67290,0.557809917,34.67760682,0.663479192
67320,0.557189931,34.62480887,0.662030085
67350,0.557086562,34.68508992,0.661841385
67380,0.555536077,34.75524888,0.661216362
67410,0.556771662,34.76665055,0.662244023
67440,0.558257825,34.75335144,0.663177117
67470,0.558399062,34.71934669,0.663700731
67500,0.557716354,34.69089081,0.663439931
67530,0.559199546,34.67933142,0.663628631
67560,0.559687531,34.68316108,0.663805308
67590,0.559414108,34.60885153,0.6642422
67620,0.558065117,34.39063111,0.664302108
67650,0.557449554,34.1824641,0.664365415
67680,0.558463977,34.49084941,0.664149069
67710,0.559745223,34.76692022,0.664460346
67740,0.562264462,34.76265087,0.665715177
67770,0.562425492,34.71682881,0.666283692
67800,0.5620912,34.67793395,0.666473992
67830,0.561557708,34.65478672,0.667000023
67860,0.562466377,34.62192954,0.666105785
67890,0.5621635,34.59346581,0.666173108
67920,0.560973585,34.57765096,0.666027662
67950,0.559260467,34.50479176,0.666299517
67980,0.559911092,34.44559623,0.6661659
68010,0.560766862,34.47623078,0.666819731
68040,0.55883855,34.53781708,0.667505225
68070,0.559627423,34.57477969,0.669162308
68100,0.560742808,34.57165178,0.671369023
68130,0.56238285,34.5541721,0.672851592
68160,0.562062515,34.55538335,0.674009662
68190,0.561762062,34.54235905,0.674188731
68220,0.561867808,34.54137648,0.673525262
68250,0.559447131,34.50717663,0.672162285
68280,0.5581016,34.48279801,0.670277375
68310,0.558245215,34.50069081,0.668962762
68340,0.557826954,34.47089202,0.668570946
68370,0.558264446,34.54305247,0.669501254
68400,0.558454362,34.56261705,0.670408677
68430,0.558865408,34.5527627,0.671356992
68460,0.5601449,34.54468167,0.671875027
68490,0.5588534,34.54631061,0.671640646
68520,0.558336554,34.52281258,0.670328154
68550,0.557298108,34.51468127,0.668700746
