Time,CO,rh,MOS,vocs
6.78E-01,4.36E-01,8.47E-01,9.00E-01,0.560831691
6.78E-01,4.28E-01,8.71E-01,9.03E-01,0.541570176
6.78E-01,4.32E-01,8.62E-01,8.91E-01,0.60084932
6.79E-01,4.19E-01,8.46E-01,8.91E-01,0.568459372
6.79E-01,4.22E-01,8.27E-01,8.85E-01,0.565983517
6.79E-01,4.10E-01,7.96E-01,8.81E-01,0.567866138
6.80E-01,4.16E-01,7.83E-01,8.94E-01,0.601741104
6.80E-01,4.17E-01,7.48E-01,9.04E-01,0.65386774
6.80E-01,4.30E-01,7.42E-01,9.03E-01,0.686484535
6.81E-01,4.28E-01,7.09E-01,8.89E-01,0.715821154
6.81E-01,4.42E-01,7.45E-01,8.91E-01,0.755391886
6.81E-01,4.45E-01,8.26E-01,8.92E-01,0.746077217
6.82E-01,4.55E-01,8.49E-01,8.93E-01,0.774019679
6.82E-01,4.66E-01,8.49E-01,9.08E-01,0.805545039
6.83E-01,4.69E-01,8.46E-01,9.19E-01,0.771782879
6.83E-01,4.76E-01,8.42E-01,9.28E-01,0.769216315
6.83E-01,4.81E-01,7.94E-01,9.29E-01,0.765664477
6.84E-01,4.68E-01,7.55E-01,9.19E-01,0.772196088
6.84E-01,4.78E-01,7.41E-01,9.08E-01,0.800083847
6.84E-01,4.78E-01,7.61E-01,9.00E-01,0.81615373
6.85E-01,4.77E-01,8.37E-01,8.91E-01,0.840768266
6.85E-01,4.97E-01,8.61E-01,8.87E-01,0.812182502
6.85E-01,5.07E-01,8.59E-01,8.94E-01,0.828141897
6.86E-01,5.24E-01,8.53E-01,8.93E-01,0.848221022
6.86E-01,5.17E-01,8.46E-01,8.76E-01,0.877254146
6.86E-01,5.05E-01,7.89E-01,8.68E-01,0.816990965
6.87E-01,4.92E-01,7.09E-01,8.55E-01,0.83602285
6.87E-01,4.94E-01,6.86E-01,8.45E-01,0.839381218
6.87E-01,5.14E-01,7.68E-01,8.35E-01,0.839484443
6.88E-01,5.32E-01,8.76E-01,8.23E-01,0.86832039
6.88E-01,5.36E-01,8.94E-01,8.29E-01,0.836127466
6.88E-01,5.56E-01,8.90E-01,8.42E-01,0.828467643
6.89E-01,5.55E-01,8.83E-01,8.46E-01,0.856529401
6.89E-01,5.63E-01,8.80E-01,8.58E-01,0.841663295
6.89E-01,5.67E-01,8.69E-01,8.64E-01,0.820525959
6.90E-01,5.59E-01,7.91E-01,8.49E-01,0.803521179
6.90E-01,5.53E-01,7.18E-01,8.32E-01,0.822678232
6.91E-01,5.61E-01,7.46E-01,8.20E-01,0.814330294
6.91E-01,5.84E-01,8.87E-01,8.16E-01,0.79381339
6.91E-01,6.09E-01,9.44E-01,8.34E-01,0.79306269
6.92E-01,6.23E-01,9.42E-01,8.52E-01,0.809619647
6.92E-01,6.28E-01,8.08E-01,7.98E-01,0.788330718
6.92E-01,6.31E-01,7.86E-01,8.01E-01,0.742695669
6.93E-01,6.41E-01,7.74E-01,8.16E-01,0.79817882
6.93E-01,6.40E-01,7.54E-01,8.24E-01,0.767961234
6.93E-01,6.54E-01,6.92E-01,8.25E-01,0.751509821
6.94E-01,6.39E-01,6.13E-01,8.15E-01,0.755095037
6.94E-01,6.36E-01,6.06E-01,8.08E-01,0.791981145
6.94E-01,6.66E-01,7.77E-01,8.04E-01,0.774506753
6.95E-01,6.77E-01,8.60E-01,8.13E-01,0.779593213
6.95E-01,6.84E-01,8.58E-01,8.39E-01,0.762809409
6.95E-01,6.99E-01,8.44E-01,8.52E-01,0.764245906
6.96E-01,7.06E-01,8.30E-01,8.48E-01,0.758335345
6.96E-01,7.14E-01,8.20E-01,8.46E-01,0.76320701
6.96E-01,7.21E-01,8.13E-01,8.38E-01,0.78129859
6.97E-01,7.20E-01,7.81E-01,8.25E-01,0.798686446
6.97E-01,7.12E-01,7.38E-01,7.98E-01,0.79820818
6.97E-01,7.04E-01,7.05E-01,7.76E-01,0.805510425
