,Start Time,End Time,Isop,Isop Error,RH,RH Stderr,Pid3 Voltage,Pid4 Voltage,Pid5 Voltage,Pid3 Stderr,Pid4 Stderr,Pid5 Stderr
3,2015-09-15 13:53:29.788800000,2015-09-15 13:55:09.753600000,2.211129164,0.000101647497377,18.2931472767,0.00468765816875,0.0568310993506,0.0536581950749,0.0561874803126,1.90751417776e-06,9.4333390481e-07,1.28283920099e-06
4,2015-09-15 14:00:14.832000000,2015-09-15 14:01:54.796800000,2.21119014251,9.92095539687e-05,42.1066836368,0.00271380770247,0.0574361958741,0.0538059868677,0.0572509564658,1.88171551765e-06,8.67204965803e-07,9.54006104144e-07
5,2015-09-15 14:08:14.870399999,2015-09-15 14:09:54.921600000,2.21107165792,8.77761311261e-05,14.1431479529,0.00234720106448,0.0566342123521,0.0535872635209,0.0557724320635,1.86341241957e-06,8.84055290835e-07,9.80597297413e-07
6,2015-09-15 14:17:14.956799999,2015-09-15 14:18:55.007999999,2.21107564368,8.27277148227e-05,41.8770067715,0.00220174258173,0.0574746298722,0.0537935831072,0.0573316309145,1.77715203402e-06,8.61636758359e-07,9.31307996024e-07
7,2015-09-15 14:26:00.096000000,2015-09-15 14:27:40.060800000,2.21112945927,8.10220826825e-05,75.1658971938,0.00311271079393,0.0578097285215,0.054139338042,0.0573602717183,1.76336965605e-06,1.01799148793e-06,9.74415013034e-07
8,2015-09-15 14:37:15.139200000,2015-09-15 14:38:55.190400000,2.21114484569,0.000103108105217,63.3939766929,0.00888873373621,0.0574706262401,0.0540612798115,0.0570859312095,1.75702930429e-06,1.19249932667e-06,9.10975277284e-07
9,2015-09-15 14:41:30.192000000,2015-09-15 14:43:10.243200000,2.21121042831,9.3203065894e-05,22.2492156563,0.00283408947917,0.0569003617483,0.053698862977,0.0565253294943,1.82065067373e-06,9.61955413889e-07,9.25432555504e-07
10,2015-09-15 14:51:30.326400000,2015-09-15 14:53:10.291200000,2.21114829444,8.46128185551e-05,10.5380045336,0.00171776666359,0.0565707722067,0.0535692812554,0.0555200455045,1.89304089607e-06,8.61750278691e-07,8.70990132986e-07
11,2015-09-15 15:00:45.360000000,2015-09-15 15:02:25.411200000,2.21103930419,9.53395265771e-05,37.5120551485,0.00307687056541,0.0575252275425,0.0538119943057,0.0574294753347,1.75644571729e-06,8.7946279531e-07,9.16207707646e-07
12,2015-09-15 15:08:30.451200000,2015-09-15 15:10:10.502400000,2.2113095417,7.169913333e-05,70.8456521906,0.00375087799954,0.0577038288001,0.0540819852921,0.0573415539427,1.7370881433e-06,9.05684839353e-07,8.81798181024e-07
13,2015-09-15 15:18:45.619200000,2015-09-15 15:20:25.670400000,2.21122788359,6.97284124967e-05,54.5536066874,0.006122701542,0.0576511869331,0.0540013940859,0.0571825722677,1.75415041641e-06,9.86028087125e-07,8.74786752352e-07
14,2015-09-15 15:24:30.700800000,2015-09-15 15:26:10.665599999,2.21117478559,7.41701562641e-05,71.4319617447,0.0108236555732,0.0575941648501,0.054060763467,0.0572998722957,1.6681314697e-06,1.14625839298e-06,9.10401210015e-07
15,2015-09-15 15:29:30.681600000,2015-09-15 15:31:10.732800000,2.21121217721,9.87865423164e-05,49.1806097473,0.00221863453842,0.0575360823876,0.0539164175824,0.0571799755045,1.48902899939e-06,1.21598910679e-06,8.58090650343e-07
16,2015-09-15 15:41:15.878400000,2015-09-15 15:42:55.929600000,2.21114956974,9.77369261431e-05,15.6946536089,0.00515129386127,0.0566750588689,0.0536692637862,0.0559928747672,1.86946117133e-06,1.08367163022e-06,1.2770183733e-06
17,2015-09-15 15:47:45.974399999,2015-09-15 15:49:26.198400000,2.21113263336,0.000100630877058,47.5501210505,0.00322569903782,0.0575103446794,0.0538680541398,0.0572257866153,1.83037095963e-06,1.02653145209e-06,8.61058335504e-07
18,2015-09-15 15:55:31.497600000,2015-09-15 15:57:11.548800000,2.21124928225,9.98167476478e-05,77.1331411546,0.00524594590885,0.0577957026573,0.0541607872523,0.0574096576823,1.37976648371e-06,1.23261729084e-06,1.0396262008e-06
19,2015-09-15 16:05:31.632000000,2015-09-15 16:07:11.596800000,2.21128877261,0.000102122655172,56.0755822079,0.00466722853866,0.0574904670654,0.0540611618881,0.0570791653909,8.89543958921e-07,1.28941475008e-06,8.20799170965e-07
20,2015-09-15 16:12:31.708800000,2015-09-15 16:14:11.673600000,2.21097635077,9.36443672875e-05,14.4754158498,0.00236075619175,0.0566303658142,0.0536426811988,0.0558570008991,1.87774782643e-06,1.01127825975e-06,9.59806020919e-07
0,2015-09-15 16:34:46.675200000,2015-09-15 16:36:26.640000000,0.598072885745,0.0113287843438,38.2723792104,0.0297985307699,0.0573538907245,0.0537789126657,0.0571303717294,2.19000457987e-06,8.81100405397e-07,1.2450953081e-06
1,2015-09-15 16:40:31.756800000,2015-09-15 16:42:11.721599999,0.519184873312,4.9471728227e-05,54.3074036234,0.00682504028021,0.0575357567122,0.0538636770618,0.0571374632201,1.7846425433e-06,8.69081077766e-07,9.32373670033e-07
2,2015-09-15 16:44:16.742400000,2015-09-15 16:45:56.793600000,0.518729204834,5.00308254481e-05,26.1102914544,0.0115814183698,0.057209144016,0.0537641387912,0.0568488428871,2.53341698574e-06,9.62315899768e-07,1.66662034321e-06
3,2015-09-15 16:50:46.924800000,2015-09-15 16:52:26.889600000,0.518750581503,4.83527690836e-05,58.4601595325,0.00558962040437,0.0574860763412,0.0539155811838,0.0571082004133,1.87127452016e-06,9.35700885815e-07,9.43937279993e-07
4,2015-09-15 16:57:46.915200000,2015-09-15 16:59:26.966400000,0.519391777784,5.02007386518e-05,22.215774014,0.00470627364767,0.0569642875524,0.053699056973,0.0564838285514,1.83546065626e-06,9.91913264557e-07,9.99704329816e-07
5,2015-09-15 17:05:32.006400000,2015-09-15 17:07:12.057600000,0.519757723815,4.84160891245e-05,58.3742592247,0.00401981008747,0.0575164794305,0.0539114996803,0.0571167258052,1.88640724469e-06,9.39244835406e-07,8.86509859104e-07
