TheTime,C2H6,CH4,H2O,CH3OH,CH4_A
3558355417,1.763867,1926.141,14930960,-43.61497,1931.647
3558355418,1.720318,1931.647,14882000,-41.63104,1932.143
3558355419,1.738006,1932.143,14935160,-40.90578,1936.327
3558355420,1.795296,1916.668,14966510,-46.2912,1916.744
3558355421,1.728316,1916.668,14956120,-41.30311,1929.84
3558355422,1.754886,1929.84,14979990,-46.95761,1917.285
3558355423,1.801712,1917.285,14972000,-38.05052,1936.278
3558355424,1.893556,1890.567,14975650,-41.56367,1890.572
3558355425,1.811132,1912.765,14935750,-41.7242,1912.672
3558355426,1.838858,1912.765,14893940,-36.37518,1923.764
3558355427,1.893505,1923.764,14967250,-43.42057,1931.139
3558355428,1.848137,1931.139,14968850,-38.72983,1944.402
3558355429,1.884269,1944.402,14935930,-35.12883,1940.456
3558355430,1.906363,1940.456,14958780,-37.06105,1941.172
3558355431,1.879454,1941.172,14976520,-33.25666,1954.764
3558355432,1.85871,1954.764,15003020,-34.9278,1941.156
3558355433,1.881287,1974.549,14958070,-32.99847,1974.436
3558355434,1.936945,1974.549,14939760,-34.69156,1989.326
3558355435,1.955808,1989.326,14960410,-31.22407,2000.114
3558355436,1.963234,1971.543,14990100,-32.95224,1971.617
3558355437,1.973499,1942.957,14951330,-34.77042,1942.859
3558355438,1.903275,1990.207,14978730,-33.07237,1990.285
3558355439,1.955177,1990.207,15017320,-34.85824,2002.393
3558355440,1.861813,1968.836,14992410,-34.67312,1968.768
3558355441,1.933462,1993.097,14956790,-30.72724,1993.01
3558355442,1.980946,1993.097,15005620,-29.46531,1994.245
3558355443,1.86105,1994.245,14994670,-31.74889,1991.104
3558355444,1.929026,2033.164,14972320,-31.70486,2033.109
3558355445,1.87776,2008.852,14933150,-31.13607,2008.743
3558355446,1.904706,2008.852,14929890,-33.32828,2003.566
3558355447,1.900227,1982.991,14978670,-29.37219,1983.116
3558355448,1.880012,1982.991,14998880,-32.97182,1992.134
3558355449,1.874497,2014.422,14919600,-30.39169,2014.215
3558355450,1.886191,2014.422,14985080,-30.04346,2000.674
3558355451,1.978405,1979.938,15010920,-31.13769,1980.003
3558355452,1.885808,2009.51,14983920,-26.53874,2009.444
3558355453,1.911691,1983.99,14992460,-28.38089,1984.007
3558355454,1.839268,2013.043,14991800,-30.20771,2013.046
3558355455,1.930569,2013.043,14962000,-28.55194,1995.279
3558355456,1.842389,1995.279,14953030,-26.8593,2000.405
3558355457,1.94104,2000.405,15009260,-29.11275,1992.341
3558355458,1.890397,1992.341,14983660,-26.92739,1999.01
3558355459,1.881538,1999.01,15038930,-31.085,1993.15
3558355460,1.933353,2044.267,15006410,-31.26116,2044.185
3558355461,1.840528,1977.827,14965950,-29.93004,1977.711
3558355462,1.849325,2010.915,14940120,-29.32727,2010.857
3558355463,1.898104,1986.505,14951250,-29.11175,1986.529
3558355464,1.820252,1986.505,14967150,-27.61387,1982.163
3558355465,1.900597,2004.843,15041920,-29.83316,2005.041
3558355466,1.917046,2004.843,15037810,-29.60497,2000.854
3558355467,1.841919,2000.854,15043550,-31.58613,2018.259
3558355468,1.885762,1993.037,14944180,-28.33406,1992.775
3558355469,1.790001,1959.124,14950270,-32.03901,1959.139
3558355470,1.811905,1991.854,14979080,-27.98847,1991.935
3558355471,1.855243,1953.019,14991520,-28.83273,1953.044
3558355472,1.79036,1979.168,15074520,-30.28333,1979.39
3558355473,1.860976,2020.121,15114210,-30.68139,2020.228
3558355474,1.774036,2020.121,15042070,-33.51449,2029.72
3558355475,1.863185,1983.361,14961310,-26.24229,1983.147
3558355476,1.838445,1990.434,15066340,-30.86581,1990.712
3558355477,1.850496,1990.434,14983900,-29.25576,1986.183
3558355478,1.790639,1986.183,14997270,-28.02141,1991.075
3558355479,1.746326,1991.075,15068990,-26.95791,1997.579
3558355480,1.777281,1997.579,15059660,-28.6621,1986.617
